date_local,summer_year,daily_peak_mw,is_top5,hour_of_peak
2022-06-06,2022,107608,FALSE,18
2022-06-07,2022,103307,FALSE,18
2022-06-08,2022,115132,FALSE,18
2022-06-09,2022,105326,FALSE,18
2022-06-10,2022,100585,FALSE,17
2022-06-11,2022,89948,FALSE,18
2022-06-12,2022,101560,FALSE,19
2022-06-13,2022,135773,FALSE,18
2022-06-14,2022,130652,FALSE,19
2022-06-15,2022,139955,FALSE,18
2022-06-16,2022,131295,FALSE,17
2022-06-17,2022,133052,FALSE,18
2022-06-18,2022,96497,FALSE,0
2022-06-19,2022,90349,FALSE,19
2022-06-20,2022,109334,FALSE,19
2022-06-21,2022,129047,FALSE,18
2022-06-22,2022,128126,FALSE,16
2022-06-23,2022,112593,FALSE,18
2022-06-24,2022,123771,FALSE,18
2022-06-25,2022,120632,FALSE,18
2022-06-26,2022,120724,FALSE,18
2022-06-27,2022,113950,FALSE,18
2022-06-28,2022,113613,FALSE,18
2022-06-29,2022,125988,FALSE,18
2022-06-30,2022,136940,FALSE,18
2022-07-01,2022,133451,FALSE,15
2022-07-02,2022,123857,FALSE,17
2022-07-03,2022,118939,FALSE,18
2022-07-04,2022,119155,FALSE,18
2022-07-05,2022,129623,FALSE,18
2022-07-06,2022,128557,FALSE,18
2022-07-07,2022,127566,FALSE,18
2022-07-08,2022,121227,FALSE,17
2022-07-09,2022,104426,FALSE,18
2022-07-10,2022,111167,FALSE,19
2022-07-11,2022,129170,FALSE,18
2022-07-12,2022,137131,FALSE,17
2022-07-13,2022,132989,FALSE,18
2022-07-14,2022,130346,FALSE,18
2022-07-15,2022,122500,FALSE,17
2022-07-16,2022,113986,FALSE,17
2022-07-17,2022,112490,FALSE,18
2022-07-18,2022,132794,FALSE,17
2022-07-19,2022,142551,FALSE,18
2022-07-20,2022,148528,TRUE,18
2022-07-21,2022,146307,TRUE,18
2022-07-22,2022,145401,TRUE,18
2022-07-23,2022,134390,FALSE,18
2022-07-24,2022,140193,FALSE,18
2022-07-25,2022,132975,FALSE,15
2022-07-26,2022,116476,FALSE,18
2022-07-27,2022,128656,FALSE,18
2022-07-28,2022,138300,FALSE,18
2022-07-29,2022,123629,FALSE,17
2022-07-30,2022,119889,FALSE,18
2022-07-31,2022,112619,FALSE,18
2022-08-01,2022,126592,FALSE,18
2022-08-02,2022,141463,FALSE,18
2022-08-03,2022,143305,TRUE,18
2022-08-04,2022,142780,FALSE,17
2022-08-05,2022,137573,FALSE,17
2022-08-06,2022,133640,FALSE,18
2022-08-07,2022,134709,FALSE,18
2022-08-08,2022,144212,TRUE,16
2022-08-09,2022,141542,FALSE,17
2022-08-10,2022,131706,FALSE,17
2022-08-11,2022,127150,FALSE,18
2022-08-12,2022,114672,FALSE,18
2022-08-13,2022,101898,FALSE,18
2022-08-14,2022,98755,FALSE,18
2022-08-15,2022,109736,FALSE,18
2022-08-16,2022,113691,FALSE,18
2022-08-17,2022,113583,FALSE,18
2022-08-18,2022,121115,FALSE,18
2022-08-19,2022,127309,FALSE,17
2022-08-20,2022,118988,FALSE,17
2022-08-21,2022,109136,FALSE,18
2022-08-22,2022,122293,FALSE,18
2022-08-23,2022,126915,FALSE,18
