rep,ev_low,ev_mid,ev_high
475,51456.96571428571,69839.2782142857,71164.04571428572
476,60885.53714285714,79267.84964285714,80592.61714285715
477,55456.96571428571,73839.2782142857,75164.04571428572
478,54028.394285714276,72410.70678571428,73735.4742857143
479,49742.67999999999,68124.9925,69449.76000000001
480,55171.25142857142,73553.56392857143,74878.33142857144
481,57171.25142857142,75553.56392857143,76878.33142857144
482,55456.96571428571,73839.2782142857,75164.04571428572
483,53742.67999999999,72124.9925,73449.76000000001
484,53742.67999999999,72124.9925,73449.76000000001
485,56599.82285714285,74982.13535714285,76306.90285714286
486,51456.96571428571,69839.2782142857,71164.04571428572
487,60599.82285714285,78982.13535714285,80306.90285714286
488,51742.67999999999,70124.9925,71449.76000000001
489,48599.82285714285,66982.13535714285,68306.90285714286
490,50028.394285714276,68410.70678571428,69735.4742857143
491,50885.53714285714,69267.84964285714,70592.61714285715
492,56028.394285714276,74410.70678571428,75735.4742857143
493,55456.96571428571,73839.2782142857,75164.04571428572
494,55456.96571428571,73839.2782142857,75164.04571428572
495,48314.108571428565,66696.42107142856,68021.18857142857
496,58314.108571428565,76696.42107142856,78021.18857142857
497,51742.67999999999,70124.9925,71449.76000000001
498,55171.25142857142,73553.56392857143,74878.33142857144
499,52885.53714285714,71267.84964285714,72592.61714285715
500,62314.108571428565,80696.42107142856,82021.18857142857
501,53171.25142857142,71553.56392857143,72878.33142857144
502,55456.96571428571,73839.2782142857,75164.04571428572
503,52314.108571428565,70696.42107142856,72021.18857142857
504,59171.25142857142,77553.56392857143,78878.33142857144
505,56028.394285714276,74410.70678571428,75735.4742857143
506,60885.53714285714,79267.84964285714,80592.61714285715
507,54599.82285714285,72982.13535714285,74306.90285714286
508,57171.25142857142,75553.56392857143,76878.33142857144
509,58599.82285714285,76982.13535714285,78306.90285714286
510,54314.108571428565,72696.42107142856,74021.18857142857
511,60885.53714285714,79267.84964285714,80592.61714285715
512,52599.82285714285,70982.13535714285,72306.90285714286
513,54885.53714285714,73267.84964285714,74592.61714285715
514,52314.108571428565,70696.42107142856,72021.18857142857
515,54028.394285714276,72410.70678571428,73735.4742857143
516,56314.108571428565,74696.42107142856,76021.18857142857
517,54885.53714285714,73267.84964285714,74592.61714285715
518,55171.25142857142,73553.56392857143,74878.33142857144
519,56599.82285714285,74982.13535714285,76306.90285714286
520,51742.67999999999,70124.9925,71449.76000000001
521,52599.82285714285,70982.13535714285,72306.90285714286
522,57742.67999999999,76124.9925,77449.76000000001
523,58314.108571428565,76696.42107142856,78021.18857142857
524,53171.25142857142,71553.56392857143,72878.33142857144
525,62314.108571428565,80696.42107142856,82021.18857142857
526,60885.53714285714,79267.84964285714,80592.61714285715
527,51456.96571428571,69839.2782142857,71164.04571428572
528,58599.82285714285,76982.13535714285,78306.90285714286
529,56885.53714285714,75267.84964285714,76592.61714285715
530,57456.96571428571,75839.2782142857,77164.04571428572
531,57171.25142857142,75553.56392857143,76878.33142857144
532,51456.96571428571,69839.2782142857,71164.04571428572
533,53456.96571428571,71839.2782142857,73164.04571428572
534,53171.25142857142,71553.56392857143,72878.33142857144
535,52314.108571428565,70696.42107142856,72021.18857142857
536,57456.96571428571,75839.2782142857,77164.04571428572
537,50028.394285714276,68410.70678571428,69735.4742857143
538,61456.96571428571,79839.2782142857,81164.04571428572
