rep,ev_low,ev_mid,ev_high
304,52885.53714285714,71267.84964285714,72592.61714285715
305,53742.67999999999,72124.9925,73449.76000000001
306,49171.25142857142,67553.56392857143,68878.33142857144
307,57456.96571428571,75839.2782142857,77164.04571428572
308,56314.108571428565,74696.42107142856,76021.18857142857
309,53171.25142857142,71553.56392857143,72878.33142857144
310,55742.67999999999,74124.9925,75449.76000000001
311,54599.82285714285,72982.13535714285,74306.90285714286
312,52885.53714285714,71267.84964285714,72592.61714285715
313,57456.96571428571,75839.2782142857,77164.04571428572
314,56885.53714285714,75267.84964285714,76592.61714285715
315,48028.394285714276,66410.70678571428,67735.4742857143
316,54314.108571428565,72696.42107142856,74021.18857142857
317,57456.96571428571,75839.2782142857,77164.04571428572
318,56885.53714285714,75267.84964285714,76592.61714285715
319,54599.82285714285,72982.13535714285,74306.90285714286
320,53171.25142857142,71553.56392857143,72878.33142857144
321,48885.53714285714,67267.84964285714,68592.61714285715
322,54885.53714285714,73267.84964285714,74592.61714285715
323,53742.67999999999,72124.9925,73449.76000000001
