month_local,hr_local,daytype,mape,bias_mw,n
4,10,weekday,1.7933433879092668,588.919075144508,173
4,10,weekend,1.6789223987120574,-386.9850746268667,67
4,11,weekday,1.9042233740783485,261.79190751444946,173
4,11,weekend,1.9314804290196992,-410.47761194029795,67
4,12,weekday,2.031249608447119,7.734104046243363,173
4,12,weekend,2.0915711444536105,-519.5074626865664,67
4,13,weekday,2.197802026372429,-166.3121387283236,173
4,13,weekend,2.234134972212421,-636.6716417910458,67
4,14,weekday,2.331846485305171,-299.5433526011553,173
4,14,weekend,2.362826111908484,-765.5223880597019,67
4,15,weekday,2.4366435152049526,-405.44508670520213,173
4,15,weekend,2.5329048629670656,-837.149253731344,67
4,16,weekday,2.489484028878172,-399.0578034682062,173
4,16,weekend,2.5027930711317725,-801.3731343283584,67
4,17,weekday,2.4861296453257316,-259.32369942196704,173
4,17,weekend,2.3117214598032336,-517.283582089552,67
4,18,weekday,2.372800982548784,100.1040462427734,173
4,18,weekend,2.1135104797241584,89.92537313432811,67
4,19,weekday,2.364601510060477,477.79190751444963,173
4,19,weekend,2.1631822165925922,566.3432835820895,67
4,20,weekday,2.2282504244683503,801.1965317919062,173
4,20,weekend,2.1940449743132016,905.7910447761195,67
4,21,weekday,1.6822643714924117,110.60693641618496,173
4,21,weekend,1.510473929821983,214.2537313432833,67
4,22,weekday,1.5389491787171439,-156.97109826589664,173
4,22,weekend,1.4239170970383928,-107.26865671641768,67
4,23,weekday,1.4381227965622947,-109.3583815028899,173
4,23,weekend,1.2848488824568443,-23.373134328358347,67
5,0,weekday,2.3315617077989006,-1636.755681818182,176
5,0,weekend,2.036855401653376,-1256.9027777777778,72
5,1,weekday,3.494813004050267,-2618.852272727273,176
5,1,weekend,2.900703098719501,-1945.875,72
5,2,weekday,4.002194982943842,-2923.420454545454,176
5,2,weekend,3.375399915886922,-2334.6388888888887,72
5,3,weekday,4.3263089621302,-3110.982954545454,176
5,3,weekend,3.9394159005787452,-2696.2361111111113,72
5,4,weekday,4.325420849223471,-3078.392045454546,176
5,4,weekend,4.19666416582389,-2854.2638888888887,72
5,5,weekday,3.920057705588618,-2806.6534090909086,176
5,5,weekend,4.090128094587649,-2788.9861111111113,72
5,6,weekday,2.7753138327056974,-1970.9545454545462,176
5,6,weekend,3.645533260965348,-2494.1805555555557,72
5,7,weekday,1.8468034390915604,-749.409090909092,176
5,7,weekend,2.7183765820245176,-1736.8888888888891,72
5,8,weekday,1.7200167165453326,-519.5170454545463,176
5,8,weekend,2.442943425260218,-1545.2916666666667,72
5,9,weekday,1.6220255169052151,-676.1875,176
5,9,weekend,2.337368723472063,-1269.375,72
5,10,weekday,1.5972633640456435,-646.9034090909079,176
5,10,weekend,2.2086028484820326,-909.7222222222225,72
5,11,weekday,1.7145551164118786,-632.1420454545464,176
5,11,weekend,2.128673485302441,-631.7222222222232,72
5,12,weekday,1.7521780080271776,-636.1193181818184,176
5,12,weekend,2.158375388652382,-437.916666666667,72
5,13,weekday,1.7978762911915045,-614.4488636363649,176
5,13,weekend,2.176047562900617,-271.09722222222257,72
5,14,weekday,1.7237607695112966,-553.6534090909082,176
5,14,weekend,2.1424370258354855,-235.34722222222192,72
5,15,weekday,1.7021192696962066,-598.0852272727267,176
5,15,weekend,2.048493138443777,-266.84722222222194,72
5,16,weekday,1.7157817645414775,-606.5681818181814,176
5,16,weekend,2.108615564627164,-260.3333333333333,72
5,17,weekday,1.7270424240958584,-608.1647727272732,176
5,17,weekend,2.1643075821331865,-213.48611111111106,72
5,18,weekday,1.7783663557544118,-573.7556818181818,176
5,18,weekend,2.222472142291421,-80.51388888888901,72
5,19,weekday,1.8376882262992225,-427.07386363636334,176
5,19,weekend,2.187045408446432,66.38888888888906,72
5,20,weekday,1.8315502753414676,-36.51136363636361,176
5,20,weekend,2.216542382594134,529.5,72
5,21,weekday,1.6430910818213806,25.289772727273306,176
5,21,weekend,2.2575134319090275,603.402777777778,72
5,22,weekday,1.6006484517012602,-779.2670454545456,176
5,22,weekend,2.0856076891270945,-233.56944444444423,72
5,23,weekday,1.7200687218889252,-981.2784090909093,176
5,23,weekend,1.8909100046710505,-507.8055555555557,72
6,0,weekday,3.2859286820849505,-2781.3801169590643,171
6,0,weekend,3.053378985958728,-2087.6376811594205,69
6,1,weekday,4.585603454098751,-4018.339181286549,171
6,1,weekend,3.666903164934487,-2792.159420289855,69
6,2,weekday,5.148813081207896,-4320.947368421052,171
6,2,weekend,4.129278451263483,-3223.884057971015,69
6,3,weekday,5.550309160727136,-4500.339181286548,171
6,3,weekend,4.890599687513689,-3746.347826086957,69
6,4,weekday,5.554785776051368,-4394.157894736843,171
6,4,weekend,5.342294934982835,-3993.6666666666665,69
6,5,weekday,5.369030256094509,-4234.877192982454,171
6,5,weekend,5.4952972126776265,-4066.6376811594205,69
6,6,weekday,4.506710188282006,-3553.3918128654973,171
6,6,weekend,5.229766055253848,-3851.3043478260865,69
6,7,weekday,3.2842162790852707,-2267.9005847953204,171
6,7,weekend,4.626674604507607,-3421.3913043478265,69
6,8,weekday,3.127128937093814,-2106.3976608187163,171
6,8,weekend,4.507123355490093,-3493.724637681159,69
6,9,weekday,2.908374669761875,-2041.6491228070151,171
6,9,weekend,3.7762352944934383,-2946.898550724637,69
6,10,weekday,2.482116241810183,-1552.8128654970742,171
6,10,weekend,3.1280248018871424,-2108.927536231883,69
6,11,weekday,2.2668664065194837,-1105.66081871345,171
6,11,weekend,2.8239278030622734,-1356.40579710145,69
6,12,weekday,2.229114661215311,-707.8947368421042,171
6,12,weekend,2.659274740191269,-748.4202898550728,69
6,13,weekday,2.2869198037389524,-529.3157894736829,171
6,13,weekend,2.538449057682492,-304.88405797101433,69
6,14,weekday,2.295545634099849,-428.7543859649105,171
6,14,weekend,2.4823531429072845,-57.159420289854744,69
6,15,weekday,2.2876507090242693,-431.0818713450301,171
6,15,weekend,2.369566027330644,153.47826086956536,69
6,16,weekday,2.209430437713217,-404.0643274853807,171
6,16,weekend,2.255913728597329,151.7971014492752,69
6,17,weekday,2.198091851652879,-486.77777777777806,171
6,17,weekend,2.1650963167609536,94.81159420289855,69
6,18,weekday,2.2554284593547127,-687.2163742690055,171
6,18,weekend,2.1306774258035124,-201.13043478260875,69
6,19,weekday,2.286218893143671,-783.3918128654968,171
6,19,weekend,2.138130107470213,-482.9130434782609,69
6,20,weekday,2.2554615258282955,-745.7017543859648,171
6,20,weekend,2.0343801045215706,-481.36231884057963,69
6,21,weekday,2.217980069862718,-292.9941176470585,170
6,21,weekend,1.9911907757872633,-163.3623188405796,69
6,22,weekday,2.25082918563589,-815.4294117647057,170
6,22,weekend,2.0222906444620707,-647.1304347826086,69
6,23,weekday,2.5305306086953,-1532.7941176470586,170
6,23,weekend,2.224138015345266,-1253.7391304347827,69
7,0,weekday,2.685927282430745,-2181.4230769230767,156
7,0,weekend,2.8833458798221328,-2110.245901639344,61
7,1,weekday,3.7936770998371685,-3649.1217948717936,156
7,1,weekend,3.6660017638879587,-3062.754098360656,61
7,2,weekday,4.596254886833566,-4317.788461538462,156
7,2,weekend,4.252704884664931,-3903.6885245901635,61
7,3,weekday,4.978606256727473,-4519.615384615386,156
7,3,weekend,4.929302467826304,-4348.475409836065,61
7,4,weekday,5.12047633666076,-4529.442307692307,156
7,4,weekend,5.215363829548147,-4462.573770491803,61
7,5,weekday,5.112658379528657,-4500.5192307692305,156
7,5,weekend,5.302302484088875,-4450.163934426229,61
7,6,weekday,4.8897585930269845,-4378.858974358973,156
7,6,weekend,5.324875334503925,-4436.737704918033,61
7,7,weekday,4.150428765921375,-3764.730769230771,156
7,7,weekend,5.140331723679676,-4268.196721311476,61
7,8,weekday,3.2687563160689135,-2899.076923076924,156
7,8,weekend,4.546172530704531,-3876.4918032786886,61
7,9,weekday,2.7123576017492987,-2076.108974358976,156
7,9,weekend,3.6402583327430094,-3007,61
7,10,weekday,2.212491346310443,-1112.673076923076,156
7,10,weekend,2.7177022612519135,-1840.9344262295078,61
7,11,weekday,1.8852194865661651,-251.2435897435897,156
7,11,weekend,2.169829155708636,-744.1803278688523,61
7,12,weekday,1.8470297784919387,168.54838709677472,155
7,12,weekend,2.0883706668173176,-58.80327868852438,61
7,13,weekday,1.8729596958536712,302.67096774193584,155
7,13,weekend,2.196028103835449,280.7213114754097,61
7,14,weekday,1.9025401796244539,352.6474358974352,156
7,14,weekend,2.2114764113087757,567.4426229508196,61
7,15,weekday,1.925102401185536,389.2948717948709,156
7,15,weekend,2.19551405597924,764.4918032786887,61
7,16,weekday,1.9914904304694665,490.7243589743586,156
7,16,weekend,2.1785857587510393,796.7213114754098,61
7,17,weekday,2.0220858370120425,530.8451612903225,155
7,17,weekend,2.2128594254212723,675.5901639344261,61
7,18,weekday,2.020255133643165,498.89677419354825,155
7,18,weekend,2.250916722521753,526.196721311475,61
7,19,weekday,2.057932250854927,438.59354838709646,155
7,19,weekend,2.28557284930864,369.3770491803273,61
7,20,weekday,2.113794505881743,368.2179487179486,156
7,20,weekend,2.2486212358217483,265.2459016393445,61
7,21,weekday,2.0982623401683393,488.96794871794845,156
7,21,weekend,2.2264784584311013,134.475409836066,61
7,22,weekday,2.1808674322385175,240.57051282051304,156
7,22,weekend,2.3600032852607855,-144.80327868852498,61
7,23,weekday,2.1789207260547627,-478.42307692307685,156
7,23,weekend,2.485776001300746,-821.4426229508191,61
8,0,weekday,2.6851652108487776,-2095.361842105263,152
8,0,weekend,2.5331829175254095,-1864.6984126984125,63
8,1,weekday,3.7962251645903504,-3478.4934210526303,152
8,1,weekend,2.923248711206053,-2452.460317460317,63
8,2,weekday,4.786495555883235,-4311.559210526315,152
8,2,weekend,3.605572498274532,-3121.190476190476,63
8,3,weekday,5.271966970605529,-4585.302631578948,152
8,3,weekend,4.454898663009675,-3708.031746031746,63
8,4,weekday,5.509844548312153,-4689.835526315789,152
8,4,weekend,5.03495977700786,-4074.4761904761904,63
8,5,weekday,5.539092759417093,-4713.855263157895,152
8,5,weekend,5.2119183146987735,-4146.222222222223,63
8,6,weekday,5.295855211078439,-4638.585526315789,152
8,6,weekend,5.282624936492354,-4192.714285714285,63
8,7,weekday,4.694722345746986,-4331.296052631578,152
8,7,weekend,5.406334536407687,-4313.84126984127,63
8,8,weekday,3.3081479938214495,-3086.368421052631,152
8,8,weekend,4.343669348705768,-3554.539682539683,63
8,9,weekday,2.4997030096623836,-2279.8157894736837,152
8,9,weekend,3.1901998102511957,-2661.5079365079364,63
8,10,weekday,1.7134325490225857,-1058.7105263157907,152
8,10,weekend,2.4357564328146197,-1546.4761904761901,63
8,11,weekday,1.540959905370715,-280.94078947368473,152
8,11,weekend,1.9805037742319422,-514.2539682539683,63
8,12,weekday,1.6660476161090743,38.513157894736985,152
8,12,weekend,1.9278852501611723,-101.19047619047618,63
8,13,weekday,1.8077414166447001,89.83552631578907,152
8,13,weekend,2.020875616435346,-88.33333333333329,63
8,14,weekday,1.9481140051530224,-11.151315789473964,152
8,14,weekend,2.075408379681883,-147.06349206349213,63
8,15,weekday,2.0183584919606727,40.21710526315829,152
8,15,weekend,2.0766489848909493,-166.38095238095246,63
8,16,weekday,2.027743481010814,44.388157894737034,152
8,16,weekend,1.9847162044488806,-355.3492063492061,63
8,17,weekday,2.0686813965819053,132.05921052631538,152
8,17,weekend,2.066005292896701,-577.6825396825395,63
8,18,weekday,2.164856441609943,282.97368421052596,152
8,18,weekend,2.1563828259906335,-656.238095238095,63
8,19,weekday,2.2151936590278734,434.5723684210523,152
8,19,weekend,2.1811058146263687,-577.3015873015875,63
8,20,weekday,2.0484716312471667,522.848684210526,152
8,20,weekend,2.0407517101665973,-331.1269841269842,63
8,21,weekday,1.875596477441001,-87.49342105263165,152
8,21,weekend,1.9281111902849322,-843.6507936507937,63
8,22,weekday,1.8667812852477046,162.5855263157893,152
8,22,weekend,1.8413636416519827,-522.2063492063489,63
8,23,weekday,1.970664526067059,-293.9736842105261,152
8,23,weekend,1.9376213090587562,-841.9523809523806,63
9,0,weekday,2.207183864687599,-1538.6887417218545,151
9,0,weekend,2.0987234540575623,-1433.3728813559323,59
9,1,weekday,3.1499145128868293,-2461.476821192053,151
9,1,weekend,2.8982612561654073,-2208.2711864406783,59
9,2,weekday,3.916124430746351,-3076.4039735099336,151
9,2,weekend,3.9306636131950685,-2964.135593220339,59
9,3,weekday,4.30293911552276,-3287.860927152318,151
9,3,weekend,4.459062857539454,-3279.4576271186443,59
9,4,weekday,4.530850714875817,-3408.569536423841,151
9,4,weekend,4.906936172387367,-3533.508474576271,59
9,5,weekday,4.454174114710421,-3360.1125827814567,151
9,5,weekend,4.99491762403602,-3563.898305084746,59
9,6,weekday,4.005218524078895,-3093.3443708609275,151
9,6,weekend,4.800218537825063,-3438.135593220339,59
9,7,weekday,3.464550233587565,-2792.6291390728475,151
9,7,weekend,4.732747017197635,-3437.0508474576272,59
9,8,weekday,2.7524019062191307,-2212.2781456953644,151
9,8,weekend,3.97092657221489,-2949.6949152542375,59
9,9,weekday,2.045153252272667,-1488.3112582781453,151
9,9,weekend,2.958921533875212,-2184.3389830508477,59
9,10,weekday,1.7030135067999566,-1014.5165562913915,151
9,10,weekend,2.3203923129208026,-1530.5084745762708,59
9,11,weekday,1.5826518388922968,-499.7880794701981,151
9,11,weekend,1.9823124678358148,-872.338983050848,59
9,12,weekday,1.5707677914076583,-252.56953642384062,151
9,12,weekend,1.950929815430877,-458.08474576271135,59
9,13,weekday,1.6063838952505156,-33.96026490066181,151
9,13,weekend,1.9898365194783911,-392.1186440677971,59
9,14,weekday,1.6711446610676375,47.75496688741747,151
9,14,weekend,2.0663416509072974,-429.83050847457594,59
9,15,weekday,1.7621886679928787,70.28476821192042,151
9,15,weekend,2.022202550434669,-504.050847457627,59
9,16,weekday,1.863115750672064,-1.3509933774830853,151
9,16,weekend,1.9753859205543118,-448.79661016949177,59
9,17,weekday,1.9630341751811236,-57.146666666666135,150
9,17,weekend,1.92732897460023,-210.98305084745772,59
9,18,weekday,1.9830516345790752,143.3708609271524,151
9,18,weekend,2.0282861490104156,190.44067796610165,59
9,19,weekday,1.8856870177731246,290.4768211920532,151
9,19,weekend,1.981804717699454,444.81355932203394,59
9,20,weekday,1.6449459640912203,-436.3576158940394,151
9,20,weekend,2.1319203877669004,-201.49152542372872,59
9,21,weekday,1.5977143313020166,-481.7019867549665,151
9,21,weekend,1.9363517727686315,-359.7627118644067,59
9,22,weekday,1.6851890182639395,342.0132450331128,151
9,22,weekend,1.8807934375307616,370.7457627118645,59
9,23,weekday,1.6873209341735425,-78.62913907284789,151
9,23,weekend,1.7319249452279222,-118.96610169491527,59
